k,compiler,x0,variant,precise_delta
0,GCC,0.100000000000000000001,basic,5.55e-18
1,GCC,0.100000000000000000001,basic,4.44e-18
2,GCC,0.100000000000000000001,basic,8.28e-17
3,GCC,0.100000000000000000001,basic,6.57e-17
4,GCC,0.100000000000000000001,basic,6.03e-18
5,GCC,0.100000000000000000001,basic,8.08e-17
6,GCC,0.100000000000000000001,basic,3.18e-17
7,GCC,0.100000000000000000001,basic,1.32e-17
8,GCC,0.100000000000000000001,basic,4.20e-17
9,GCC,0.100000000000000000001,basic,2.17e-17
10,GCC,0.100000000000000000001,basic,2.61e-17
11,GCC,0.100000000000000000001,basic,1.06e-16
12,GCC,0.100000000000000000001,basic,2.10e-16
13,GCC,0.100000000000000000001,basic,3.25e-16
14,GCC,0.100000000000000000001,basic,2.71e-16
15,GCC,0.100000000000000000001,basic,5.46e-17
16,GCC,0.100000000000000000001,basic,6.56e-16
17,GCC,0.100000000000000000001,basic,1.80e-15
18,GCC,0.100000000000000000001,basic,1.56e-15
19,GCC,0.100000000000000000001,basic,4.79e-15
20,GCC,0.100000000000000000001,basic,1.46e-14
21,GCC,0.100000000000000000001,basic,9.58e-15
22,GCC,0.100000000000000000001,basic,3.63e-14
23,GCC,0.100000000000000000001,basic,1.15e-13
24,GCC,0.100000000000000000001,basic,1.15e-13
25,GCC,0.100000000000000000001,basic,4.03e-13
26,GCC,0.100000000000000000001,basic,8.52e-13
27,GCC,0.100000000000000000001,basic,1.50e-12
28,GCC,0.100000000000000000001,basic,3.67e-12
29,GCC,0.100000000000000000001,basic,3.72e-12
30,GCC,0.100000000000000000001,basic,1.30e-11
31,GCC,0.100000000000000000001,basic,2.70e-11
32,GCC,0.100000000000000000001,basic,4.95e-11
33,GCC,0.100000000000000000001,basic,1.15e-10
34,GCC,0.100000000000000000001,basic,1.52e-10
35,GCC,0.100000000000000000001,basic,4.74e-10
36,GCC,0.100000000000000000001,basic,4.14e-10
37,GCC,0.100000000000000000001,basic,1.50e-09
38,GCC,0.100000000000000000001,basic,3.82e-09
39,GCC,0.100000000000000000001,basic,2.91e-09
40,GCC,0.100000000000000000001,basic,1.08e-08
41,GCC,0.100000000000000000001,basic,3.11e-08
42,GCC,0.100000000000000000001,basic,4.71e-09
43,GCC,0.100000000000000000001,basic,1.88e-08
44,GCC,0.100000000000000000001,basic,7.42e-08
45,GCC,0.100000000000000000001,basic,2.83e-07
46,GCC,0.100000000000000000001,basic,9.32e-07
47,GCC,0.100000000000000000001,basic,1.31e-06
48,GCC,0.100000000000000000001,basic,3.94e-06
49,GCC,0.100000000000000000001,basic,2.13e-06
50,GCC,0.100000000000000000001,basic,8.22e-06
51,GCC,0.100000000000000000001,basic,2.81e-05
52,GCC,0.100000000000000000001,basic,5.26e-05
53,GCC,0.100000000000000000001,basic,1.19e-04
54,GCC,0.100000000000000000001,basic,1.73e-04
55,GCC,0.100000000000000000001,basic,5.08e-04
56,GCC,0.100000000000000000001,basic,1.47e-04
57,GCC,0.100000000000000000001,basic,5.82e-04
58,GCC,0.100000000000000000001,basic,2.23e-03
59,GCC,0.100000000000000000001,basic,7.47e-03
60,GCC,0.100000000000000000001,basic,1.20e-02
61,GCC,0.100000000000000000001,basic,3.25e-02
62,GCC,0.100000000000000000001,basic,1.06e-02
63,GCC,0.100000000000000000001,basic,4.16e-02
