(float): 0.1000001, (f-d diff): 0.0000000, (double): 0.1000001, (d-l diff): 0.0000000, (long double): 0.1000001
(float): 0.3700003, (f-d diff): 0.0000000, (double): 0.3700003, (d-l diff): 0.0000000, (long double): 0.3700003
(float): 1.0693007, (f-d diff): 0.0000000, (double): 1.0693006, (d-l diff): 0.0000000, (long double): 1.0693006
(float): 0.8469911, (f-d diff): 0.0000000, (double): 0.8469911, (d-l diff): 0.0000000, (long double): 0.8469911
(float): 1.2357826, (f-d diff): 0.0000000, (double): 1.2357827, (d-l diff): 0.0000000, (long double): 1.2357827
(float): 0.3616543, (f-d diff): 0.0000000, (double): 0.3616543, (d-l diff): 0.0000000, (long double): 0.3616543
(float): 1.0542357, (f-d diff): 0.0000000, (double): 1.0542357, (d-l diff): 0.0000000, (long double): 1.0542357
(float): 0.8827040, (f-d diff): 0.0000001, (double): 0.8827042, (d-l diff): 0.0000000, (long double): 0.8827042
(float): 1.1933169, (f-d diff): 0.0000002, (double): 1.1933167, (d-l diff): 0.0000000, (long double): 1.1933167
(float): 0.5012517, (f-d diff): 0.0000007, (double): 0.5012524, (d-l diff): 0.0000000, (long double): 0.5012524
(float): 1.2512469, (f-d diff): 0.0000008, (double): 1.2512477, (d-l diff): 0.0000000, (long double): 1.2512477
(float): 0.3081312, (f-d diff): 0.0000029, (double): 0.3081283, (d-l diff): 0.0000000, (long double): 0.3081283
(float): 0.9476904, (f-d diff): 0.0000064, (double): 0.9476840, (d-l diff): 0.0000000, (long double): 0.9476840
(float): 1.0964105, (f-d diff): 0.0000106, (double): 1.0964211, (d-l diff): 0.0000000, (long double): 1.0964211
(float): 0.7792940, (f-d diff): 0.0000274, (double): 0.7792667, (d-l diff): 0.0000000, (long double): 0.7792667
(float): 1.2952785, (f-d diff): 0.0000185, (double): 1.2952971, (d-l diff): 0.0000000, (long double): 1.2952971
(float): 0.1478748, (f-d diff): 0.0000700, (double): 0.1478048, (d-l diff): 0.0000000, (long double): 0.1478048
(float): 0.5258985, (f-d diff): 0.0002180, (double): 0.5256805, (d-l diff): 0.0000000, (long double): 0.5256805
(float): 1.2738862, (f-d diff): 0.0001842, (double): 1.2737020, (d-l diff): 0.0000000, (long double): 1.2737020
(float): 0.2271867, (f-d diff): 0.0006708, (double): 0.2278575, (d-l diff): 0.0000000, (long double): 0.2278575
(float): 0.7539054, (f-d diff): 0.0017676, (double): 0.7556729, (d-l diff): 0.0000000, (long double): 0.7556729
(float): 1.3105016, (f-d diff): 0.0009346, (double): 1.3095670, (d-l diff): 0.0000000, (long double): 1.3095670
(float): 0.0897632, (f-d diff): 0.0036077, (double): 0.0933709, (d-l diff): 0.0000000, (long double): 0.0933709
(float): 0.3348804, (f-d diff): 0.0124487, (double): 0.3473291, (d-l diff): 0.0000000, (long double): 0.3473291
(float): 1.0030869, (f-d diff): 0.0243170, (double): 1.0274039, (d-l diff): 0.0000000, (long double): 1.0274039
(float): 0.9937978, (f-d diff): 0.0508586, (double): 0.9429392, (d-l diff): 0.0000000, (long double): 0.9429392
(float): 1.0122890, (f-d diff): 0.0920648, (double): 1.1043538, (d-l diff): 0.0000000, (long double): 1.1043538
(float): 0.9749689, (f-d diff): 0.2163457, (double): 0.7586232, (d-l diff): 0.0000000, (long double): 0.7586232
(float): 1.0481825, (f-d diff): 0.2597828, (double): 1.3079653, (d-l diff): 0.0000000, (long double): 1.3079653
(float): 0.8966703, (f-d diff): 0.7971288, (double): 0.0995415, (d-l diff): 0.0000000, (long double): 0.0995415
(float): 1.1746283, (f-d diff): 0.8061877, (double): 0.3684406, (d-l diff): 0.0000000, (long double): 0.3684406
(float): 0.5592585, (f-d diff): 0.5072585, (double): 1.0665170, (d-l diff): 0.0000001, (long double): 1.0665169
(float): 1.2987237, (f-d diff): 0.4450312, (double): 0.8536925, (d-l diff): 0.0000001, (long double): 0.8536926
(float): 0.1348453, (f-d diff): 1.0935521, (double): 1.2283973, (d-l diff): 0.0000002, (long double): 1.2283972
(float): 0.4848313, (f-d diff): 0.0981220, (double): 0.3867093, (d-l diff): 0.0000005, (long double): 0.3867098
(float): 1.2341411, (f-d diff): 0.1359362, (double): 1.0982049, (d-l diff): 0.0000009, (long double): 1.0982058
(float): 0.3672514, (f-d diff): 0.4074061, (double): 0.7746575, (d-l diff): 0.0000023, (long double): 0.7746553
(float): 1.0643848, (f-d diff): 0.2339624, (double): 1.2983473, (d-l diff): 0.0000015, (long double): 1.2983487
(float): 0.8587942, (f-d diff): 0.7225220, (double): 0.1362722, (d-l diff): 0.0000056, (long double): 0.1362667
(float): 1.2225943, (f-d diff): 0.7332157, (double): 0.4893786, (d-l diff): 0.0000177, (long double): 0.4893608
(float): 0.4061670, (f-d diff): 0.8328731, (double): 1.2390401, (d-l diff): 0.0000189, (long double): 1.2390213
(float): 1.1297531, (f-d diff): 0.7792538, (double): 0.3504993, (d-l diff): 0.0000647, (long double): 0.3505640
(float): 0.6899862, (f-d diff): 0.3434616, (double): 1.0334479, (d-l diff): 0.0001228, (long double): 1.0335707
(float): 1.3317019, (f-d diff): 0.4019539, (double): 0.9297480, (d-l diff): 0.0002703, (long double): 0.9294777
(float): 0.0065179, (f-d diff): 1.1191801, (double): 1.1256980, (d-l diff): 0.0004264, (long double): 1.1261245
(float): 0.0259441, (f-d diff): 0.6752599, (double): 0.7012040, (d-l diff): 0.0011751, (long double): 0.7000289
(float): 0.1017571, (f-d diff): 1.2279977, (double): 1.3297548, (d-l diff): 0.0002394, (long double): 1.3299942
(float): 0.3759649, (f-d diff): 0.3616894, (double): 0.0142755, (d-l diff): 0.0009525, (long double): 0.0133231
(float): 1.0798109, (f-d diff): 1.0233201, (double): 0.0564907, (d-l diff): 0.0037310, (long double): 0.0527597
(float): 0.8212690, (f-d diff): 0.6048798, (double): 0.2163892, (d-l diff): 0.0137012, (long double): 0.2026880
(float): 1.2616277, (f-d diff): 0.5365436, (double): 0.7250840, (d-l diff): 0.0375792, (long double): 0.6875048
(float): 0.2713976, (f-d diff): 1.0516980, (double): 1.3230956, (d-l diff): 0.0089351, (long double): 1.3320306
(float): 0.8646204, (f-d diff): 0.8239838, (double): 0.0406366, (d-l diff): 0.0354310, (long double): 0.0052056
(float): 1.2157764, (f-d diff): 1.0581839, (double): 0.1575925, (d-l diff): 0.1368512, (long double): 0.0207413
(float): 0.4287686, (f-d diff): 0.1270952, (double): 0.5558639, (d-l diff): 0.4741893, (long double): 0.0816746
(float): 1.1635469, (f-d diff): 0.1329546, (double): 1.2965016, (d-l diff): 0.9898155, (long double): 0.3066860
(float): 0.5926633, (f-d diff): 0.4494059, (double): 0.1432574, (d-l diff): 0.8013178, (long double): 0.9445751
(float): 1.3169038, (f-d diff): 0.8054424, (double): 0.5114615, (d-l diff): 0.5901725, (long double): 1.1016340
(float): 0.0649080, (f-d diff): 1.1961593, (double): 1.2610674, (d-l diff): 0.4953238, (long double): 0.7657436
(float): 0.2469930, (f-d diff): 0.0264038, (double): 0.2733967, (d-l diff): 1.0304879, (long double): 1.3038846
(float): 0.8049552, (f-d diff): 0.0643944, (double): 0.8693496, (d-l diff): 0.7541564, (long double): 0.1151932
(float): 1.2759621, (f-d diff): 0.0658699, (double): 1.2100922, (d-l diff): 0.7891279, (long double): 0.4209643
(float): 0.2196107, (f-d diff): 0.2277886, (double): 0.4473993, (d-l diff): 0.7048251, (long double): 1.1522244
(float): 0.7337562, (f-d diff): 0.4553426, (double): 1.1890988, (d-l diff): 0.5630644, (long double): 0.6260344
(float): 1.3198302, (f-d diff): 0.8053029, (double): 0.5145273, (d-l diff): 0.8138531, (long double): 1.3283804
(float): 0.0534658, (f-d diff): 1.2104283, (double): 1.2638941, (d-l diff): 1.2441560, (long double): 0.0197382
(float): 0.2052876, (f-d diff): 0.0580038, (double): 0.2632914, (d-l diff): 0.1855075, (long double): 0.0777839
(float): 0.6947213, (f-d diff): 0.1504771, (double): 0.8451985, (d-l diff): 0.5522139, (long double): 0.2929846
(float): 1.3309721, (f-d diff): 0.0932596, (double): 1.2377125, (d-l diff): 0.3232941, (long double): 0.9144184
(float): 0.0094285, (f-d diff): 0.3456248, (double): 0.3550533, (d-l diff): 0.7941372, (long double): 1.1491905
(float): 0.0374473, (f-d diff): 1.0045773, (double): 1.0420247, (d-l diff): 0.4071792, (long double): 0.6348455
(float): 0.1455823, (f-d diff): 0.7650701, (double): 0.9106525, (d-l diff): 0.4196431, (long double): 1.3302956
(float): 0.5187467, (f-d diff): 0.6359994, (double): 1.1547461, (d-l diff): 1.1426228, (long double): 0.0121234
(float): 1.2676923, (f-d diff): 0.6490236, (double): 0.6186687, (d-l diff): 0.5706162, (long double): 0.0480525
(float): 0.2496376, (f-d diff): 1.0767843, (double): 1.3264219, (d-l diff): 1.1411390, (long double): 0.1852829
(float): 0.8115937, (f-d diff): 0.7840913, (double): 0.0275023, (d-l diff): 0.6106399, (long double): 0.6381423
(float): 1.2703217, (f-d diff): 1.1625815, (double): 0.1077402, (d-l diff): 1.2231522, (long double): 1.3308924
(float): 0.2401352, (f-d diff): 0.1560019, (double): 0.3961370, (d-l diff): 0.3863912, (long double): 0.0097458
(float): 0.7875460, (f-d diff): 0.3262285, (double): 1.1137745, (d-l diff): 1.0750762, (long double): 0.0386983
(float): 1.2894980, (f-d diff): 0.5558809, (double): 0.7336171, (d-l diff): 0.5833164, (long double): 0.1503007
(float): 0.1695766, (f-d diff): 1.1503096, (double): 1.3198863, (d-l diff): 0.7864544, (long double): 0.5334318
(float): 0.5920379, (f-d diff): 0.5387921, (double): 0.0532458, (d-l diff): 1.2268330, (long double): 1.2800788
(float): 1.3166250, (f-d diff): 1.1121471, (double): 0.2044779, (d-l diff): 0.0000323, (long double): 0.2045102
(float): 0.0659962, (f-d diff): 0.6264817, (double): 0.6924779, (d-l diff): 0.0000895, (long double): 0.6925674
(float): 0.2509182, (f-d diff): 1.0804165, (double): 1.3313347, (d-l diff): 0.0000139, (long double): 1.3313208
(float): 0.8147930, (f-d diff): 0.8068103, (double): 0.0079827, (d-l diff): 0.0000554, (long double): 0.0080380
(float): 1.2675092, (f-d diff): 1.2357698, (double): 0.0317394, (d-l diff): 0.0002189, (long double): 0.0319583
(float): 0.2502980, (f-d diff): 0.1263625, (double): 0.1239356, (d-l diff): 0.0008337, (long double): 0.1247692
(float): 0.8132448, (f-d diff): 0.3635826, (double): 0.4496622, (d-l diff): 0.0027127, (long double): 0.4523749
(float): 1.2688779, (f-d diff): 0.0768173, (double): 1.1920605, (d-l diff): 0.0035099, (long double): 1.1955704
(float): 0.2453585, (f-d diff): 0.2598587, (double): 0.5052172, (d-l diff): 0.0111014, (long double): 0.4941158
(float): 0.8008316, (f-d diff): 0.4543040, (double): 1.2551355, (d-l diff): 0.0111236, (long double): 1.2440119
(float): 1.2793326, (f-d diff): 0.9848861, (double): 0.2944465, (d-l diff): 0.0389043, (long double): 0.3333508
(float): 0.2072544, (f-d diff): 0.7104354, (double): 0.9176898, (d-l diff): 0.0823452, (long double): 1.0000350
(float): 0.7001545, (f-d diff): 0.4441410, (double): 1.1442955, (d-l diff): 0.1443655, (long double): 0.9999300
(float): 1.3299690, (f-d diff): 0.6810236, (double): 0.6489454, (d-l diff): 0.3511945, (long double): 1.0001399
(float): 0.0134230, (f-d diff): 1.3189682, (double): 1.3323912, (d-l diff): 0.3326711, (long double): 0.9997201
(float): 0.0531513, (f-d diff): 0.0493855, (double): 0.0037658, (d-l diff): 0.9967938, (long double): 1.0005596
(float): 0.2041301, (f-d diff): 0.1891093, (double): 0.0150208, (d-l diff): 0.9838590, (long double): 0.9988798
(float): 0.6915132, (f-d diff): 0.6321069, (double): 0.0594064, (d-l diff): 0.9428302, (long double): 1.0022366
