(float): 0.1000000014901161, (f-d diff): 0.0000000014901160, (double): 0.1000000000000001, (d-l diff): 0.0000000000000000, (long double): 0.1000000000000001
(float): 0.3700000047683716, (f-d diff): 0.0000000047683713, (double): 0.3700000000000003, (d-l diff): 0.0000000000000000, (long double): 0.3700000000000003
(float): 1.0692999362945557, (f-d diff): 0.0000000637054449, (double): 1.0693000000000006, (d-l diff): 0.0000000000000000, (long double): 1.0693000000000006
(float): 0.8469926714897156, (f-d diff): 0.0000001414897171, (double): 0.8469925299999985, (d-l diff): 0.0000000000000000, (long double): 0.8469925299999985
(float): 1.2357809543609619, (f-d diff): 0.0000001280116368, (double): 1.2357810823725988, (d-l diff): 0.0000000000000002, (long double): 1.2357810823725989
(float): 0.3616601228713989, (f-d diff): 0.0000004440309791, (double): 0.3616596788404198, (d-l diff): 0.0000000000000005, (long double): 0.3616596788404193
(float): 1.0542464256286621, (f-d diff): 0.0000008801638496, (double): 1.0542455454648125, (d-l diff): 0.0000000000000010, (long double): 1.0542455454648115
(float): 0.8826791048049927, (f-d diff): 0.0000020666570572, (double): 0.8826811714620498, (d-l diff): 0.0000000000000023, (long double): 0.8826811714620521
(float): 1.1933492422103882, (f-d diff): 0.0000027077230387, (double): 1.1933465344873495, (d-l diff): 0.0000000000000030, (long double): 1.1933465344873465
(float): 0.5011497735977173, (f-d diff): 0.0000085102327801, (double): 0.5011582838304974, (d-l diff): 0.0000000000000096, (long double): 0.5011582838305070
(float): 1.2511458396911621, (f-d diff): 0.0000084192750394, (double): 1.2511542589662015, (d-l diff): 0.0000000000000095, (long double): 1.2511542589662110
(float): 0.3084856271743774, (f-d diff): 0.0000295304973658, (double): 0.3084560966770117, (d-l diff): 0.0000000000000333, (long double): 0.3084560966769784
(float): 0.9484523534774780, (f-d diff): 0.0000634575010853, (double): 0.9483888959763928, (d-l diff): 0.0000000000000715, (long double): 0.9483888959763213
(float): 1.0951237678527832, (f-d diff): 0.0001073220188244, (double): 1.0952310898716076, (d-l diff): 0.0000000000001210, (long double): 1.0952310898717285
(float): 0.7826068401336670, (f-d diff): 0.0002759013112847, (double): 0.7823309388223822, (d-l diff): 0.0000000000003110, (long double): 0.7823309388220713
(float): 1.2930068969726562, (f-d diff): 0.0001917648007428, (double): 1.2931986617733990, (d-l diff): 0.0000000000002158, (long double): 1.2931986617736148
(float): 0.1564270257949829, (f-d diff): 0.0007207151389170, (double): 0.1557063106560659, (d-l diff): 0.0000000000008112, (long double): 0.1557063106552547
(float): 0.5522998571395874, (f-d diff): 0.0022079800496937, (double): 0.5500918770898937, (d-l diff): 0.0000000000024871, (long double): 0.5500918770874067
(float): 1.2940940856933594, (f-d diff): 0.0015297970546326, (double): 1.2925642886387267, (d-l diff): 0.0000000000017397, (long double): 1.2925642886369871
(float): 0.1523377895355225, (f-d diff): 0.0057520442269714, (double): 0.1580898337624939, (d-l diff): 0.0000000000065331, (long double): 0.1580898337690270
(float): 0.5397307872772217, (f-d diff): 0.0176513611555948, (double): 0.5573821484328165, (d-l diff): 0.0000000000199356, (long double): 0.5573821484527521
(float): 1.2849951982498169, (f-d diff): 0.0125088173067023, (double): 1.2975040155565192, (d-l diff): 0.0000000000130719, (long double): 1.2975040155695911
(float): 0.1863428354263306, (f-d diff): 0.0468767843561297, (double): 0.1394660510702008, (d-l diff): 0.0000000000494774, (long double): 0.1394660510207234
(float): 0.6412004232406616, (f-d diff): 0.1416885571632059, (double): 0.4995118660774557, (d-l diff): 0.0000000001565070, (long double): 0.4995118659209487
(float): 1.3313877582550049, (f-d diff): 0.0818766070017283, (double): 1.2495111512532766, (d-l diff): 0.0000000001569653, (long double): 1.2495111510963113
(float): 0.0077708959579468, (f-d diff): 0.3064393577362936, (double): 0.3142102536942404, (d-l diff): 0.0000000005489182, (long double): 0.3142102542431586
(float): 0.0309024229645729, (f-d diff): 0.9297543412325919, (double): 0.9606567641971648, (d-l diff): 0.0000000011608184, (long double): 0.9606567653579833
(float): 0.1207448095083237, (f-d diff): 0.9532979914870341, (double): 1.0740428009953578, (d-l diff): 0.0000000020476147, (long double): 1.0740427989477431
(float): 0.4392412900924683, (f-d diff): 0.3962260987791018, (double): 0.8354673888715700, (d-l diff): 0.0000000050048960, (long double): 0.8354673938764661
(float): 1.1781663894653320, (f-d diff): 0.0696858924173105, (double): 1.2478522818826425, (d-l diff): 0.0000000050689805, (long double): 1.2478522768136620
(float): 0.5484374165534973, (f-d diff): 0.2284342412220810, (double): 0.3200031753314163, (d-l diff): 0.0000000176761113, (long double): 0.3200031930075276
(float): 1.2913988828659058, (f-d diff): 0.3185922782068080, (double): 0.9728066046590977, (d-l diff): 0.0000000367659737, (long double): 0.9728066414250714
(float): 0.1624623537063599, (f-d diff): 0.8897059947249448, (double): 1.0521683484313047, (d-l diff): 0.0000000675332015, (long double): 1.0521682808981032
(float): 0.5706673860549927, (f-d diff): 0.3168313073482479, (double): 0.8874986934032406, (d-l diff): 0.0000001562049628, (long double): 0.8874988496082034
(float): 1.3056857585906982, (f-d diff): 0.1186527773551136, (double): 1.1870329812355846, (d-l diff): 0.0000002069704244, (long double): 1.1870327742651602
(float): 0.1082971096038818, (f-d diff): 0.4126929197153372, (double): 0.5209900293192190, (d-l diff): 0.0000006462024934, (long double): 0.5209906755217124
(float): 0.3980036377906799, (f-d diff): 0.8716646475360741, (double): 1.2696682853267540, (d-l diff): 0.0000005648183849, (long double): 1.2696688501451389
(float): 1.1167938709259033, (f-d diff): 0.8742933939126263, (double): 0.2425004770132770, (d-l diff): 0.0000020435193590, (long double): 0.2424984334939180
(float): 0.7254898548126221, (f-d diff): 0.0680926091854853, (double): 0.7935824639981074, (d-l diff): 0.0000052007634479, (long double): 0.7935772632346595
(float): 1.3229527473449707, (f-d diff): 0.0379422728484633, (double): 1.2850104744965074, (d-l diff): 0.0000039602730944, (long double): 1.2850144347696018
(float): 0.0411990880966187, (f-d diff): 0.1450870511921938, (double): 0.1862861392888124, (d-l diff): 0.0000146929091229, (long double): 0.1862714463796895
(float): 0.1597042679786682, (f-d diff): 0.4813327121031891, (double): 0.6410369800818573, (d-l diff): 0.0000423497722438, (long double): 0.6409946303096135
(float): 0.5623006820678711, (f-d diff): 0.7690620087621556, (double): 1.3313626908300267, (d-l diff): 0.0000065178488469, (long double): 1.3313561729811797
(float): 1.3006565570831299, (f-d diff): 1.2927856373655309, (double): 0.0078709197175990, (d-l diff): 0.0000259942018409, (long double): 0.0078969139194400
(float): 0.1275037527084351, (f-d diff): 0.0962059279696417, (double): 0.0312978247387934, (d-l diff): 0.0001027471906133, (long double): 0.0314005719294067
(float): 0.4612433910369873, (f-d diff): 0.3389907535819545, (double): 0.1222526374550328, (d-l diff): 0.0003916625101124, (long double): 0.1226442999651452
(float): 1.2067371606826782, (f-d diff): 0.7625637329566819, (double): 0.4441734277259963, (d-l diff): 0.0012788991927631, (long double): 0.4454523269187594
(float): 0.4583048820495605, (f-d diff): 0.7265187271608420, (double): 1.1848236092104025, (d-l diff): 0.0017023717926231, (long double): 1.1865259810030257
(float): 1.2030894756317139, (f-d diff): 0.6752159936171976, (double): 0.5278734820145162, (d-l diff): 0.0053012687879909, (long double): 0.5225722132265254
(float): 0.4700850248336792, (f-d diff): 0.8054576641819962, (double): 1.2755426890156754, (d-l diff): 0.0044989902189812, (long double): 1.2710436987966942
(float): 1.2174003124237061, (f-d diff): 0.9962570108650244, (double): 0.2211433015586817, (d-l diff): 0.0163752408757507, (long double): 0.2375185424344324
(float): 0.4234107136726379, (f-d diff): 0.3144494130892667, (double): 0.7378601267619046, (d-l diff): 0.0429688689752931, (long double): 0.7808289957371977
(float): 1.1558129787445068, (f-d diff): 0.1623148283078297, (double): 1.3181278070523366, (d-l diff): 0.0238935858554279, (long double): 1.2942342211969087
(float): 0.6155409812927246, (f-d diff): 0.5554125002571837, (double): 0.0601284810355409, (d-l diff): 0.0916817458005875, (long double): 0.1518102268361284
(float): 1.3254919052124023, (f-d diff): 1.0958242837651628, (double): 0.2296676214472395, (d-l diff): 0.3084342509811640, (long double): 0.5381018724284035
(float): 0.0311812162399292, (f-d diff): 0.7292476205253311, (double): 0.7604288367652603, (d-l diff): 0.5233177776154922, (long double): 1.2837466143807525
(float): 0.1218080595135689, (f-d diff): 1.1851512401949718, (double): 1.3069592997085406, (d-l diff): 1.1159889519876639, (long double): 0.1909703477208768
(float): 0.4427206218242645, (f-d diff): 0.3393112562740188, (double): 0.1034093655502457, (d-l diff): 0.5510630042073636, (long double): 0.6544723697576093
(float): 1.1828777790069580, (f-d diff): 0.8013208074564881, (double): 0.3815569715504698, (d-l diff): 0.9513302591515448, (long double): 1.3328872307020146
(float): 0.5339115858078003, (f-d diff): 0.5555591327777807, (double): 1.0894707185855810, (d-l diff): 1.0876869050829790, (long double): 0.0017838135026019
(float): 1.2804615497589111, (f-d diff): 0.4834180153827338, (double): 0.7970435343761774, (d-l diff): 0.7899178263376058, (long double): 0.0071257080385716
(float): 0.2031008005142212, (f-d diff): 1.0792381499178823, (double): 1.2823389504321034, (d-l diff): 1.2539884454229700, (long double): 0.0283505050091334
(float): 0.6886534094810486, (f-d diff): 0.4924771591385608, (double): 0.1961762503424878, (d-l diff): 0.0851854837087728, (long double): 0.1109907666337150
(float): 1.3318830728530884, (f-d diff): 0.6626334350784526, (double): 0.6692496377746358, (d-l diff): 0.2622434220735952, (long double): 0.4070062157010406
(float): 0.0057946443557739, (f-d diff): 1.3275186737583256, (double): 1.3333133181140995, (d-l diff): 0.2022506341677831, (long double): 1.1310626839463164
(float): 0.0230778437107801, (f-d diff): 0.0229977840356717, (double): 0.0000800596751085, (d-l diff): 0.6862622910626226, (long double): 0.6863423507377311
(float): 0.0907136127352715, (f-d diff): 0.0903933932634922, (double): 0.0003202194717792, (d-l diff): 1.3318517162305611, (long double): 1.3321719357023403
(float): 0.3381675779819489, (f-d diff): 0.3368870077163623, (double): 0.0012805702655866, (d-l diff): 0.0033609737250137, (long double): 0.0046415439906002
(float): 1.0095983743667603, (f-d diff): 1.0044810128850292, (double): 0.0051173614817310, (d-l diff): 0.0133841826888199, (long double): 0.0185015441705510
(float): 0.9805268645286560, (f-d diff): 0.9601359807673360, (double): 0.0203908837613200, (d-l diff): 0.0525883715107993, (long double): 0.0729792552721193
(float): 1.0378086566925049, (f-d diff): 0.9574924860689280, (double): 0.0803161706235769, (d-l diff): 0.1956229353646807, (long double): 0.2759391059882576
(float): 0.9200941920280457, (f-d diff): 0.6181815713246446, (double): 0.3019126207034011, (d-l diff): 0.5734166326088327, (long double): 0.8753292533122338
(float): 1.1406568288803101, (f-d diff): 0.2064600376866927, (double): 0.9341967911936173, (d-l diff): 0.2685163169428596, (long double): 1.2027131081364769
(float): 0.6593333482742310, (f-d diff): 0.4592828824708852, (double): 1.1186162307451162, (d-l diff): 0.6473202596491229, (long double): 0.4712959710959933
(float): 1.3331720829010010, (f-d diff): 0.6126139749797692, (double): 0.7205581079212318, (d-l diff): 0.4982660993487953, (long double): 1.2188242072700271
(float): 0.0006449222564697, (f-d diff): 1.3239755487553810, (double): 1.3246204710118508, (d-l diff): 0.9059209866139723, (long double): 0.4186994843978785
(float): 0.0025784412864596, (f-d diff): 0.0320452660899713, (double): 0.0346237073764308, (d-l diff): 1.1142464555099352, (long double): 1.1488701628863660
(float): 0.0102938199415803, (f-d diff): 0.1246046062266769, (double): 0.1348984261682572, (d-l diff): 0.5008742718655713, (long double): 0.6357726980338285
(float): 0.0408573932945728, (f-d diff): 0.4441435552304377, (double): 0.4850009485250106, (d-l diff): 0.8454690729146624, (long double): 1.3304700214396730
(float): 0.1584216058254242, (f-d diff): 1.0759044280641381, (double): 1.2343260338895623, (d-l diff): 1.2228973819799219, (long double): 0.0114286519096404
(float): 0.5583941936492920, (f-d diff): 0.1917723319036534, (double): 0.3666218617456386, (d-l diff): 0.3212990963604923, (long double): 0.0453227653851463
(float): 1.2981646060943604, (f-d diff): 0.2349119276413205, (double): 1.0632526784530398, (d-l diff): 0.8881240760989258, (long double): 0.1751286023541141
(float): 0.1369644403457642, (f-d diff): 0.7245274987537053, (double): 0.8614919390994694, (d-l diff): 0.2529876117705294, (long double): 0.6085043273289401
(float): 0.4915799796581268, (f-d diff): 0.7278826933396592, (double): 1.2194626729977860, (d-l diff): 0.1037220871838368, (long double): 1.3231847601816228
(float): 1.2413672208786011, (f-d diff): 0.8247841613921725, (double): 0.4165830594864286, (d-l diff): 0.3762977474906331, (long double): 0.0402853119957955
(float): 0.3424912095069885, (f-d diff): 0.8032166920855059, (double): 1.1457079015924945, (d-l diff): 0.9894353726971084, (long double): 0.1562725288953861
