(float): 0.1000001, (f-d diff): 0.0000000, (double): 0.1000001, (d-l diff): 0.0000000, (long double): 0.1000001
(float): 0.3700004, (f-d diff): 0.0000000, (double): 0.3700003, (d-l diff): 0.0000000, (long double): 0.3700003
(float): 1.0693007, (f-d diff): 0.0000000, (double): 1.0693006, (d-l diff): 0.0000000, (long double): 1.0693006
(float): 0.8469909, (f-d diff): 0.0000001, (double): 0.8469911, (d-l diff): 0.0000000, (long double): 0.8469911
(float): 1.2357827, (f-d diff): 0.0000001, (double): 1.2357827, (d-l diff): 0.0000000, (long double): 1.2357827
(float): 0.3616540, (f-d diff): 0.0000003, (double): 0.3616543, (d-l diff): 0.0000000, (long double): 0.3616543
(float): 1.0542351, (f-d diff): 0.0000006, (double): 1.0542357, (d-l diff): 0.0000000, (long double): 1.0542357
(float): 0.8827055, (f-d diff): 0.0000013, (double): 0.8827042, (d-l diff): 0.0000000, (long double): 0.8827042
(float): 1.1933150, (f-d diff): 0.0000017, (double): 1.1933167, (d-l diff): 0.0000000, (long double): 1.1933167
(float): 0.5012578, (f-d diff): 0.0000054, (double): 0.5012524, (d-l diff): 0.0000000, (long double): 0.5012524
(float): 1.2512531, (f-d diff): 0.0000054, (double): 1.2512477, (d-l diff): 0.0000000, (long double): 1.2512477
(float): 0.3081093, (f-d diff): 0.0000189, (double): 0.3081283, (d-l diff): 0.0000000, (long double): 0.3081283
(float): 0.9476433, (f-d diff): 0.0000407, (double): 0.9476840, (d-l diff): 0.0000000, (long double): 0.9476840
(float): 1.0964898, (f-d diff): 0.0000687, (double): 1.0964211, (d-l diff): 0.0000000, (long double): 1.0964211
(float): 0.7790896, (f-d diff): 0.0001771, (double): 0.7792667, (d-l diff): 0.0000000, (long double): 0.7792667
(float): 1.2954166, (f-d diff): 0.0001195, (double): 1.2952971, (d-l diff): 0.0000000, (long double): 1.2952971
(float): 0.1473539, (f-d diff): 0.0004509, (double): 0.1478048, (d-l diff): 0.0000000, (long double): 0.1478048
(float): 0.5242760, (f-d diff): 0.0014045, (double): 0.5256805, (d-l diff): 0.0000000, (long double): 0.5256805
(float): 1.2725080, (f-d diff): 0.0011940, (double): 1.2737020, (d-l diff): 0.0000000, (long double): 1.2737020
(float): 0.2322021, (f-d diff): 0.0043445, (double): 0.2278575, (d-l diff): 0.0000000, (long double): 0.2278575
(float): 0.7670549, (f-d diff): 0.0113819, (double): 0.7556729, (d-l diff): 0.0000000, (long double): 0.7556729
(float): 1.3031000, (f-d diff): 0.0064670, (double): 1.3095670, (d-l diff): 0.0000000, (long double): 1.3095670
(float): 0.1181912, (f-d diff): 0.0248204, (double): 0.0933709, (d-l diff): 0.0000000, (long double): 0.0933709
(float): 0.4308574, (f-d diff): 0.0835283, (double): 0.3473291, (d-l diff): 0.0000000, (long double): 0.3473291
(float): 1.1665155, (f-d diff): 0.1391115, (double): 1.0274039, (d-l diff): 0.0000000, (long double): 1.0274039
(float): 0.5837868, (f-d diff): 0.3591524, (double): 0.9429392, (d-l diff): 0.0000000, (long double): 0.9429392
(float): 1.3127261, (f-d diff): 0.2083723, (double): 1.1043538, (d-l diff): 0.0000000, (long double): 1.1043538
(float): 0.0811548, (f-d diff): 0.6774684, (double): 0.7586232, (d-l diff): 0.0000000, (long double): 0.7586232
(float): 0.3048610, (f-d diff): 1.0031043, (double): 1.3079653, (d-l diff): 0.0000000, (long double): 1.3079653
(float): 0.9406233, (f-d diff): 0.8410817, (double): 0.0995415, (d-l diff): 0.0000000, (long double): 0.0995415
(float): 1.1081767, (f-d diff): 0.7397361, (double): 0.3684406, (d-l diff): 0.0000000, (long double): 0.3684406
(float): 0.7485400, (f-d diff): 0.3179770, (double): 1.0665170, (d-l diff): 0.0000001, (long double): 1.0665169
(float): 1.3132236, (f-d diff): 0.4595311, (double): 0.8536925, (d-l diff): 0.0000001, (long double): 0.8536926
(float): 0.0792258, (f-d diff): 1.1491715, (double): 1.2283973, (d-l diff): 0.0000001, (long double): 1.2283972
(float): 0.2980729, (f-d diff): 0.0886364, (double): 0.3867093, (d-l diff): 0.0000005, (long double): 0.3867098
(float): 0.9257493, (f-d diff): 0.1724557, (double): 1.0982050, (d-l diff): 0.0000008, (long double): 1.0982058
(float): 1.1319619, (f-d diff): 0.3573046, (double): 0.7746573, (d-l diff): 0.0000020, (long double): 0.7746553
(float): 0.6838342, (f-d diff): 0.6145132, (double): 1.2983474, (d-l diff): 0.0000013, (long double): 1.2983487
(float): 1.3324492, (f-d diff): 1.1961775, (double): 0.1362717, (d-l diff): 0.0000050, (long double): 0.1362667
(float): 0.0035342, (f-d diff): 0.4858425, (double): 0.4893767, (d-l diff): 0.0000159, (long double): 0.4893608
(float): 0.0140993, (f-d diff): 1.2249389, (double): 1.2390382, (d-l diff): 0.0000169, (long double): 1.2390213
(float): 0.0558009, (f-d diff): 0.2947050, (double): 0.3505059, (d-l diff): 0.0000581, (long double): 0.3505640
(float): 0.2138624, (f-d diff): 0.8195980, (double): 1.0334604, (d-l diff): 0.0001101, (long double): 1.0335706
