(float): 0.1000000014901161, (f-d diff): 0.0000000014901160, (double): 0.1000000000000001, (d-l diff): 0.0000000000000000, (long double): 0.1000000000000001
(float): 0.3700000047683716, (f-d diff): 0.0000000047683713, (double): 0.3700000000000003, (d-l diff): 0.0000000000000000, (long double): 0.3700000000000003
(float): 1.0692999362945557, (f-d diff): 0.0000000637054449, (double): 1.0693000000000006, (d-l diff): 0.0000000000000000, (long double): 1.0693000000000006
(float): 0.8469927310943604, (f-d diff): 0.0000002010943616, (double): 0.8469925299999987, (d-l diff): 0.0000000000000000, (long double): 0.8469925299999987
(float): 1.2357809543609619, (f-d diff): 0.0000001280116368, (double): 1.2357810823725988, (d-l diff): 0.0000000000000000, (long double): 1.2357810823725988
(float): 0.3616600036621094, (f-d diff): 0.0000003248216895, (double): 0.3616596788404198, (d-l diff): 0.0000000000000000, (long double): 0.3616596788404198
(float): 1.0542461872100830, (f-d diff): 0.0000006417452705, (double): 1.0542455454648125, (d-l diff): 0.0000000000000000, (long double): 1.0542455454648125
(float): 0.8826797008514404, (f-d diff): 0.0000014706106097, (double): 0.8826811714620502, (d-l diff): 0.0000000000000000, (long double): 0.8826811714620502
(float): 1.1933484077453613, (f-d diff): 0.0000018732580123, (double): 1.1933465344873491, (d-l diff): 0.0000000000000000, (long double): 1.1933465344873491
(float): 0.5011525154113770, (f-d diff): 0.0000057684191219, (double): 0.5011582838304989, (d-l diff): 0.0000000000000000, (long double): 0.5011582838304989
(float): 1.2511484622955322, (f-d diff): 0.0000057966706706, (double): 1.2511542589662028, (d-l diff): 0.0000000000000000, (long double): 1.2511542589662028
(float): 0.3084764480590820, (f-d diff): 0.0000203513820747, (double): 0.3084560966770074, (d-l diff): 0.0000000000000000, (long double): 0.3084560966770074
(float): 0.9484326243400574, (f-d diff): 0.0000437283636738, (double): 0.9483888959763835, (d-l diff): 0.0000000000000000, (long double): 0.9483888959763835
(float): 1.0951571464538574, (f-d diff): 0.0000739434177657, (double): 1.0952310898716231, (d-l diff): 0.0000000000000000, (long double): 1.0952310898716231
(float): 0.7825210094451904, (f-d diff): 0.0001900706228479, (double): 0.7823309388223425, (d-l diff): 0.0000000000000000, (long double): 0.7823309388223425
(float): 1.2930666208267212, (f-d diff): 0.0001320409467054, (double): 1.2931986617734266, (d-l diff): 0.0000000000000000, (long double): 1.2931986617734266
(float): 0.1562023162841797, (f-d diff): 0.0004960056282171, (double): 0.1557063106559626, (d-l diff): 0.0000000000000000, (long double): 0.1557063106559626
(float): 0.5516117811203003, (f-d diff): 0.0015199040307232, (double): 0.5500918770895771, (d-l diff): 0.0000000000000000, (long double): 0.5500918770895771
(float): 1.2936204671859741, (f-d diff): 0.0010561785474690, (double): 1.2925642886385051, (d-l diff): 0.0000000000000000, (long double): 1.2925642886385051
(float): 0.1541204452514648, (f-d diff): 0.0039693885118615, (double): 0.1580898337633263, (d-l diff): 0.0000000000000000, (long double): 0.1580898337633263
(float): 0.5452224612236023, (f-d diff): 0.0121596872117545, (double): 0.5573821484353568, (d-l diff): 0.0000000000000000, (long double): 0.5573821484353568
(float): 1.2890872955322266, (f-d diff): 0.0084167200259584, (double): 1.2975040155581850, (d-l diff): 0.0000000000000000, (long double): 1.2975040155581850
(float): 0.1711111068725586, (f-d diff): 0.0316450558086627, (double): 0.1394660510638959, (d-l diff): 0.0000000000000000, (long double): 0.1394660510638959
(float): 0.5966073870658875, (f-d diff): 0.0970955210083756, (double): 0.4995118660575119, (d-l diff): 0.0000000000000000, (long double): 0.4995118660575119
(float): 1.3186084032058716, (f-d diff): 0.0690972519725972, (double): 1.2495111512332744, (d-l diff): 0.0000000000000000, (long double): 1.2495111512332744
(float): 0.0582489967346191, (f-d diff): 0.2559612570295702, (double): 0.3142102537641893, (d-l diff): 0.0000000000000000, (long double): 0.3142102537641893
(float): 0.2228171527385712, (f-d diff): 0.7378396116065173, (double): 0.9606567643450885, (d-l diff): 0.0000000000000000, (long double): 0.9606567643450885
(float): 0.7423261404037476, (f-d diff): 0.3317166603306818, (double): 1.0740428007344294, (d-l diff): 0.0000000000000000, (long double): 1.0740428007344294
(float): 1.3161603212356567, (f-d diff): 0.4806929317263107, (double): 0.8354673895093461, (d-l diff): 0.0000000000000000, (long double): 0.8354673895093461
(float): 0.0678071975708008, (f-d diff): 1.1800450836658993, (double): 1.2478522812367001, (d-l diff): 0.0000000000000000, (long double): 1.2478522812367001
(float): 0.2574353516101837, (f-d diff): 0.0625678259737068, (double): 0.3200031775838905, (d-l diff): 0.0000000000000000, (long double): 0.3200031775838905
(float): 0.8309224843978882, (f-d diff): 0.1418841249463130, (double): 0.9728066093442012, (d-l diff): 0.0000000000000000, (long double): 0.9728066093442012
(float): 1.2523934841156006, (f-d diff): 0.2002251442900795, (double): 1.0521683398255210, (d-l diff): 0.0000000000000000, (long double): 1.0521683398255210
(float): 0.3041057586669922, (f-d diff): 0.5833929546415124, (double): 0.8874987133085046, (d-l diff): 0.0000000000000000, (long double): 0.8874987133085046
(float): 0.9389821290969849, (f-d diff): 0.2480508257642797, (double): 1.1870329548612646, (d-l diff): 0.0000000000000000, (long double): 1.1870329548612646
(float): 1.1108660697937012, (f-d diff): 0.5898759581286379, (double): 0.5209901116650633, (d-l diff): 0.0000000000000000, (long double): 0.5209901116650633
(float): 0.7413940429687500, (f-d diff): 0.5282743143331778, (double): 1.2696683573019278, (d-l diff): 0.0000000000000000, (long double): 1.2696683573019278
(float): 1.3165807723999023, (f-d diff): 1.0740805557935182, (double): 0.2425002166063841, (d-l diff): 0.0000000000000000, (long double): 0.2425002166063841
(float): 0.0661683082580566, (f-d diff): 0.7274134930050502, (double): 0.7935818012631068, (d-l diff): 0.0000000000000000, (long double): 0.7935818012631068
(float): 0.2515384852886200, (f-d diff): 1.0334724938758160, (double): 1.2850109791644360, (d-l diff): 0.0000000000000000, (long double): 1.2850109791644360
(float): 0.8163391351699829, (f-d diff): 0.6300548682316665, (double): 0.1862842669383165, (d-l diff): 0.0000000000000000, (long double): 0.1862842669383165
(float): 1.2661277055740356, (f-d diff): 0.6250961221470076, (double): 0.6410315834270280, (d-l diff): 0.0000000000000000, (long double): 0.6410315834270280
(float): 0.2552723884582520, (f-d diff): 1.0760894723969716, (double): 1.3313618608552236, (d-l diff): 0.0000000000000000, (long double): 1.3313618608552236
(float): 0.8255975842475891, (f-d diff): 0.8177233544463451, (double): 0.0078742298012440, (d-l diff): 0.0000000000000000, (long double): 0.0078742298012440
(float): 1.2575562000274658, (f-d diff): 1.2262452913073782, (double): 0.0313109087200875, (d-l diff): 0.0000000000000000, (long double): 0.0313109087200875
(float): 0.2858819961547852, (f-d diff): 0.1635794802890682, (double): 0.1223025158657170, (d-l diff): 0.0000000000000000, (long double): 0.1223025158657170
(float): 0.8983424305915833, (f-d diff): 0.4540060832899671, (double): 0.4443363473016161, (d-l diff): 0.0000000000000000, (long double): 0.4443363473016161
(float): 1.1723122596740723, (f-d diff): 0.0127287609323650, (double): 1.1850410206064372, (d-l diff): 0.0000000000000000, (long double): 1.1850410206064372
(float): 0.5663008689880371, (f-d diff): 0.0391034481221268, (double): 0.5271974208659103, (d-l diff): 0.0000000000000000, (long double): 0.5271974208659103
(float): 1.3031134605407715, (f-d diff): 0.0281351387801336, (double): 1.2749783217606379, (d-l diff): 0.0000000000000000, (long double): 1.2749783217606379
(float): 0.1181397438049316, (f-d diff): 0.1050643803589013, (double): 0.2232041241638330, (d-l diff): 0.0000000000000000, (long double): 0.2232041241638330
(float): 0.4306879639625549, (f-d diff): 0.3126682895615456, (double): 0.7433562535241005, (d-l diff): 0.0000000000000000, (long double): 0.7433562535241005
(float): 1.1662755012512207, (f-d diff): 0.1494139538850212, (double): 1.3156894551362419, (d-l diff): 0.0000000000000000, (long double): 1.3156894551362419
(float): 0.5845065116882324, (f-d diff): 0.5148649182133678, (double): 0.0696415934748646, (d-l diff): 0.0000000000000000, (long double): 0.0696415934748646
(float): 1.3130824565887451, (f-d diff): 1.0490659373144415, (double): 0.2640165192743036, (d-l diff): 0.0000000000000000, (long double): 0.2640165192743036
(float): 0.0797734260559082, (f-d diff): 0.7671784836921501, (double): 0.8469519097480583, (d-l diff): 0.0000000000000000, (long double): 0.8469519097480583
(float): 0.3000023066997528, (f-d diff): 0.9358227200148312, (double): 1.2358250267145841, (d-l diff): 0.0000000000000000, (long double): 1.2358250267145841
(float): 0.9300050735473633, (f-d diff): 0.5684954566513341, (double): 0.3615096168960292, (d-l diff): 0.0000000000000000, (long double): 0.3615096168960292
(float): 1.1252920627593994, (f-d diff): 0.0713212045002241, (double): 1.0539708582591754, (d-l diff): 0.0000000000000000, (long double): 1.0539708582591754
(float): 0.7023215293884277, (f-d diff): 0.1809981934695255, (double): 0.8833197228579532, (d-l diff): 0.0000000000000000, (long double): 0.8833197228579532
(float): 1.3295195102691650, (f-d diff): 0.1370018172069059, (double): 1.1925176930622592, (d-l diff): 0.0000000000000000, (long double): 1.1925176930622592
(float): 0.0152115821838379, (f-d diff): 0.4885638452656007, (double): 0.5037754274494386, (d-l diff): 0.0000000000000000, (long double): 0.5037754274494386
(float): 0.0601521506905556, (f-d diff): 1.1935805152016052, (double): 1.2537326658921608, (d-l diff): 0.0000000000000000, (long double): 1.2537326658921608
(float): 0.2297537624835968, (f-d diff): 0.0696401085098532, (double): 0.2993938709934501, (d-l diff): 0.0000000000000000, (long double): 0.2993938709934501
(float): 0.7606546878814697, (f-d diff): 0.1680107261270026, (double): 0.9286654140084724, (d-l diff): 0.0000000000000000, (long double): 0.9286654140084724
(float): 1.3068320751190186, (f-d diff): 0.1794287726117112, (double): 1.1274033025073074, (d-l diff): 0.0000000000000000, (long double): 1.1274033025073074
(float): 0.1038980484008789, (f-d diff): 0.5926005421152007, (double): 0.6964985905160797, (d-l diff): 0.0000000000000000, (long double): 0.6964985905160797
(float): 0.3832077682018280, (f-d diff): 0.9474557340898337, (double): 1.3306635022916617, (d-l diff): 0.0000000000000000, (long double): 1.3306635022916617
(float): 1.0922864675521851, (f-d diff): 1.0816285273788715, (double): 0.0106579401733136, (d-l diff): 0.0000000000000000, (long double): 0.0106579401733136
(float): 0.7898769378662109, (f-d diff): 0.7475859522391705, (double): 0.0422909856270405, (d-l diff): 0.0000000000000000, (long double): 0.0422909856270405
(float): 1.2877910137176514, (f-d diff): 1.1239926536054092, (double): 0.1637983601122422, (d-l diff): 0.0000000000000000, (long double): 0.1637983601122422
(float): 0.1759471893310547, (f-d diff): 0.3987565427915347, (double): 0.5747037321225894, (d-l diff): 0.0000000000000000, (long double): 0.5747037321225894
(float): 0.6109164953231812, (f-d diff): 0.6970452940202776, (double): 1.3079617893434587, (d-l diff): 0.0000000000000000, (long double): 1.3079617893434587
(float): 1.3240090608596802, (f-d diff): 1.2244540306334724, (double): 0.0995550302262078, (d-l diff): 0.0000000000000000, (long double): 0.0995550302262078
(float): 0.0370359420776367, (f-d diff): 0.3314505666971711, (double): 0.3684865087748078, (d-l diff): 0.0000000000000000, (long double): 0.3684865087748078
(float): 0.1440287828445435, (f-d diff): 0.9225703308075484, (double): 1.0665991136520918, (d-l diff): 0.0000000000000000, (long double): 1.0665991136520918
(float): 0.5138822793960571, (f-d diff): 0.3396131674820264, (double): 0.8534954468780835, (d-l diff): 0.0000000000000000, (long double): 0.8534954468780835
(float): 1.2633041143417358, (f-d diff): 0.0346857603542601, (double): 1.2286183539874758, (d-l diff): 0.0000000000000000, (long double): 1.2286183539874758
(float): 0.2654047012329102, (f-d diff): 0.1205595354523101, (double): 0.3859642366852203, (d-l diff): 0.0000000000000000, (long double): 0.3859642366852203
(float): 0.8502998352050781, (f-d diff): 0.2466519355357888, (double): 1.0969517707408669, (d-l diff): 0.0000000000000000, (long double): 1.0969517707408669
(float): 1.2321698665618896, (f-d diff): 0.4542723455929925, (double): 0.7778975209688972, (d-l diff): 0.0000000000000000, (long double): 0.7778975209688972
(float): 0.3739519119262695, (f-d diff): 0.9222645125606517, (double): 1.2962164244869212, (d-l diff): 0.0000000000000000, (long double): 1.2962164244869212
(float): 1.0762875080108643, (f-d diff): 0.9319528673921544, (double): 0.1443346406187098, (d-l diff): 0.0000000000000000, (long double): 0.1443346406187098
(float): 0.8299655914306641, (f-d diff): 0.3151244944034212, (double): 0.5148410970272429, (d-l diff): 0.0000000000000000, (long double): 0.5148410970272429
(float): 1.2533338069915771, (f-d diff): 0.0108465155527497, (double): 1.2641803225443269, (d-l diff): 0.0000000000000000, (long double): 1.2641803225443269
(float): 0.3007984161376953, (f-d diff): 0.0385327896852230, (double): 0.2622656264524723, (d-l diff): 0.0000000000000000, (long double): 0.2622656264524723
