nodes_number,max_diff_uniform,max_diff_chebyshev,error_uniform,error_chebyshev
3,19.99955498150411,24.214167818860034,0.3871046370169181,0.33021501072823284
4,19.99955498150411,16.751296131728026,0.3871046370169181,0.27777484626534477
5,26.367581738679277,18.936053914232183,0.37784813353392294,0.2805287199509046
6,19.848016597780273,18.176192476806065,0.3208299151577007,0.28161030043330815
7,19.999554981504126,18.34860446681525,0.3871046370169183,0.2918193422732758
8,19.994442550766415,21.06991844580782,0.31577979911318377,0.309153464216283
9,15.446443978925913,21.384795424098122,0.3074872275032045,0.33300076810696716
10,29.02356676840815,21.41725718934775,0.4578099115950871,0.3035757024704029
20,958.6686263410749,3.847478155787197,6.253527541229759,0.06010758478402616
30,7.607454723915957,0.0007786243131171489,0.038543678874242836,1.5165974493001812e-05
40,0.0010012231832945417,8.43091779145766e-05,4.272995160004718e-06,2.421536781347832e-07
50,0.000394809634599369,0.0008224458356167474,1.4099871863047702e-06,2.0067821385654536e-06
60,0.400088677910567,0.0037343156384181952,0.0011439840711535006,9.437622683973854e-06
70,250.6435325931866,344.8129769334346,0.6477020638372655,0.6861499884863971
80,248101.67333215754,5240640.828372455,560.8096344051812,10794.578091936484
90,16665601581.346476,623371000014.5264,28162126.201783232,1077156140.0396008
100,1712495728785378.5,1.2584338876418192e+17,3013745860106.4824,210964397771574.56
200,8.850658632637697e+61,4.1121140009000085e+66,1.3425852703894358e+59,7.66253555922416e+63
