Metoda;x0;Rho;Kryterium;Wyznaczony_Pierwiastek;Liczba_Iteracji;Blad_Bezwzgledny;Status
Newton-Raphson;1.0;0.01;incremental;0.565458111344819;68;0.0004448029803686415;Sukces
Newton-Raphson;1.0;0.01;residual;0.5563146355108944;67;0.00958827881429325;Sukces
Newton-Raphson;0.9;0.01;incremental;0.5659004776225169;27;2.4367026707494688e-06;Sukces
Newton-Raphson;0.9;0.01;residual;0.553831246779458;25;0.012071667545729636;Sukces
Newton-Raphson;0.8;0.01;incremental;0.5654404326071262;10;0.0004624817180615137;Sukces
Newton-Raphson;0.8;0.01;residual;0.5561228846743533;9;0.009780029650834354;Sukces
Newton-Raphson;0.7;0.01;incremental;0.5658861886109315;5;1.6725714256149438e-05;Sukces
Newton-Raphson;0.7;0.01;residual;0.5640671727423241;4;0.0018357415828635926;Sukces
Newton-Raphson;0.6;0.01;incremental;0.5656950226096278;2;0.0002078917155599047;Sukces
Newton-Raphson;0.6;0.01;residual;0.5593807202398963;1;0.006522194085291422;Sukces
Newton-Raphson;0.5;0.01;incremental;0.5658922569637943;3;1.065736139338469e-05;Sukces
Newton-Raphson;0.5;0.01;residual;0.5644384557824392;2;0.001464458542748459;Sukces
Newton-Raphson;0.4;0.01;incremental;0.5658425713366506;4;6.0342988537076536e-05;Sukces
Newton-Raphson;0.4;0.01;residual;0.562406484921177;3;0.003496429404010737;Sukces
Newton-Raphson;0.3;0.01;incremental;0.565810097689048;5;9.281663613969204e-05;Sukces
Newton-Raphson;0.3;0.01;residual;0.5615605093958687;4;0.0043424049293190325;Sukces
Newton-Raphson;0.2;0.01;incremental;0.5657960307623778;6;0.00010688356280985634;Sukces
Newton-Raphson;0.2;0.01;residual;0.5612405969706834;5;0.004662317354504286;Sukces
Newton-Raphson;0.1;0.01;incremental;0.565790567516595;7;0.00011234680859273372;Sukces
Newton-Raphson;0.1;0.01;residual;0.5611219930089599;6;0.00478092131622776;Sukces
