Metoda;x0;x1;Rho;Kryterium;Wyznaczony_Pierwiastek;Liczba_Iteracji;Blad_Bezwzgledny;Status
Sieczne;1.0;-0.4;0.001;incremental;0.9998225542619221;2;0.43391963993673444;Sukces
Sieczne;1.0;-0.4;0.001;residual;;5;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.9;-0.4;0.001;incremental;0.8998391609415487;2;0.333936246616361;Sukces
Sieczne;0.9;-0.4;0.001;residual;0.8998391441909162;100;0.33393622986572846;Osiagnieto limit iteracji
Sieczne;0.9;1.0;0.001;incremental;0.9999999999999998;3;0.4340970856748121;Sukces
Sieczne;0.9;1.0;0.001;residual;;3;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.8;-0.4;0.001;incremental;0.7998610558835275;2;0.23395814155833983;Sukces
Sieczne;0.8;-0.4;0.001;residual;0.565604173678578;45;0.00029874064660972977;Sukces
Sieczne;0.8;1.0;0.001;incremental;0.9999999683559571;3;0.43409705403076937;Sukces
Sieczne;0.8;1.0;0.001;residual;;6;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.7;-0.4;0.001;incremental;0.6998960465933891;2;0.13399313226820142;Sukces
Sieczne;0.7;-0.4;0.001;residual;0.5667540401822229;8;0.0008511258570351732;Sukces
Sieczne;0.7;1.0;0.001;incremental;0.9986441669021506;3;0.43274125257696294;Sukces
Sieczne;0.7;1.0;0.001;residual;;6;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.6;-0.4;0.001;incremental;0.5999630572974957;2;0.03406014297230797;Sukces
Sieczne;0.6;-0.4;0.001;residual;0.567058694933203;4;0.0011557806080153554;Sukces
Sieczne;0.6;1.0;0.001;incremental;0.5659032059757637;17;2.9165057602309474e-07;Sukces
Sieczne;0.6;1.0;0.001;residual;0.5670810443761468;15;0.0011781300509591253;Sukces
Sieczne;0.5;-0.4;0.001;incremental;0.5001072693509793;2;0.06579564497420842;Sukces
Sieczne;0.5;-0.4;0.001;residual;0.565477279694221;5;0.00042563463096667586;Sukces
Sieczne;0.5;1.0;0.001;incremental;0.7423392195919591;4;0.17643630526677145;Sukces
Sieczne;0.5;1.0;0.001;residual;0.5655026141526105;14;0.00040030017257719486;Sukces
Sieczne;0.4;-0.4;0.001;incremental;0.400434427642581;2;0.16546848668260666;Sukces
Sieczne;0.4;-0.4;0.001;residual;0.5656294556790155;7;0.00027345864617223103;Sukces
Sieczne;0.4;1.0;0.001;incremental;0.8865349386704495;4;0.32063202434526183;Sukces
Sieczne;0.4;1.0;0.001;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.3;-0.4;0.001;incremental;0.3011853544254412;2;0.2647175598997465;Sukces
Sieczne;0.3;-0.4;0.001;residual;0.5646303713282096;8;0.0012725429969780988;Sukces
