n,cond_A1_float32,cond_A2_float32,cond_A1_float64,cond_A2_float64
2,1.4096e+01,3.0000e+00,1.4096e+01,3.0000e+00
3,4.8292e+02,6.6633e+00,4.8292e+02,6.6633e+00
4,1.7033e+04,1.2206e+01,1.7033e+04,1.2206e+01
5,5.9238e+05,1.9655e+01,5.9188e+05,1.9655e+01
6,2.0957e+07,2.9040e+01,2.0379e+07,2.9040e+01
7,1.3341e+09,4.0387e+01,6.9805e+08,4.0387e+01
8,3.0329e+09,5.3717e+01,2.3840e+10,5.3717e+01
9,8.6613e+09,6.9047e+01,8.1269e+11,6.9047e+01
10,3.6261e+09,8.6389e+01,2.7673e+13,8.6389e+01
11,1.9588e+09,1.0576e+02,9.4194e+14,1.0576e+02
12,2.3648e+09,1.2716e+02,3.1350e+16,1.2716e+02
13,3.7339e+09,1.5060e+02,5.7621e+17,1.5060e+02
14,3.0948e+09,1.7610e+02,1.2081e+18,1.7610e+02
15,7.6294e+09,2.0364e+02,1.1648e+18,2.0364e+02
16,1.1529e+10,2.3326e+02,6.3970e+17,2.3326e+02
17,1.6697e+10,2.6493e+02,2.5407e+19,2.6493e+02
18,1.2177e+10,2.9868e+02,1.5944e+19,2.9868e+02
19,1.2095e+10,3.3450e+02,1.6505e+18,3.3450e+02
20,2.3078e+10,3.7241e+02,1.4312e+19,3.7241e+02
50,1.0690e+11,2.4870e+03,5.7653e+19,2.4870e+03
100,2.5607e+12,1.0268e+04,1.4665e+20,1.0268e+04
150,4.0301e+11,2.3413e+04,8.2715e+19,2.3413e+04
200,6.0479e+11,4.1942e+04,6.0850e+19,4.1943e+04
