n,||x||_max_float32,||x||_max_float64
2,2.3842e-07,2.2204e-16
3,5.2452e-06,2.6978e-14
4,2.5749e-04,1.7986e-13
5,4.0412e-03,5.9348e-12
6,4.9290e-02,1.4487e-10
7,4.3252e+00,1.4100e-09
8,1.3784e+00,1.2810e-07
9,1.5591e+01,3.0394e-06
10,2.8484e+00,1.7405e-04
11,2.2907e+01,3.9865e-03
12,1.8665e+01,1.3677e-01
13,1.0387e+01,6.2447e+00
14,1.0080e+01,1.4152e+00
15,2.4967e+01,4.8320e+00
16,8.5437e+01,1.5255e+00
17,1.9838e+01,6.5424e+00
18,3.4593e+01,9.6368e+00
19,4.0839e+01,2.1487e+01
20,4.5035e+01,3.9686e+00
