n,||x||_max_gauss_float32,time_gauss_float32,mem_gauss_float32,||x||_max_thomas_float32,time_thomas_float32,mem_thomas_float32,||x||_max_gauss_float64,time_gauss_float64,mem_gauss_float64,||x||_max_thomas_float64,time_thomas_float64,mem_thomas_float64
2,0.0000e+00,7.2520e-04,1828,0.0000e+00,1.7900e-04,676,0.0000e+00,4.9540e-04,1824,2.2204e-16,1.6370e-04,688
3,0.0000e+00,5.9440e-04,1932,5.9605e-08,2.3290e-04,704,0.0000e+00,3.4350e-04,2008,2.2204e-16,1.3470e-04,752
4,0.0000e+00,4.3400e-04,2092,5.9605e-08,1.5720e-04,724,2.2204e-16,4.1730e-04,1968,2.2204e-16,1.4800e-04,792
5,0.0000e+00,5.8450e-04,1900,5.9605e-08,1.8790e-04,744,2.2204e-16,6.6770e-04,2064,2.2204e-16,1.8120e-04,832
6,0.0000e+00,7.8620e-04,1956,1.1921e-07,2.1480e-04,764,2.2204e-16,8.6380e-04,2176,2.2204e-16,2.1630e-04,872
7,1.1921e-07,9.5020e-04,2020,1.1921e-07,2.4910e-04,784,2.2204e-16,9.9790e-04,2304,2.2204e-16,2.5700e-04,912
8,1.1921e-07,1.3501e-03,2092,1.1921e-07,2.8160e-04,804,2.2204e-16,1.2471e-03,2448,2.2204e-16,2.8690e-04,952
9,1.1921e-07,1.5661e-03,2172,1.1921e-07,3.2340e-04,824,2.2204e-16,1.4893e-03,2608,2.2204e-16,3.2300e-04,992
10,1.1921e-07,1.9032e-03,2260,1.1921e-07,4.3520e-04,844,2.2204e-16,1.8967e-03,2784,2.2204e-16,3.8610e-04,1032
11,1.1921e-07,2.3518e-03,2356,1.1921e-07,4.2680e-04,864,2.2204e-16,2.2057e-03,2976,2.2204e-16,4.8880e-04,1072
12,1.1921e-07,2.6219e-03,2460,1.1921e-07,4.5260e-04,884,2.2204e-16,2.4699e-03,3184,2.2204e-16,5.6160e-04,1112
13,1.1921e-07,1.1186e-02,2572,1.1921e-07,9.8180e-04,904,2.2204e-16,6.1565e-03,3408,2.2204e-16,9.2070e-04,1152
14,1.1921e-07,6.9706e-03,2692,1.1921e-07,9.5920e-04,948,2.2204e-16,4.8977e-03,3648,2.2204e-16,5.2290e-04,1216
15,1.1921e-07,3.7199e-03,2820,1.1921e-07,5.5040e-04,968,2.2204e-16,6.9076e-03,3904,2.2204e-16,1.0578e-03,1256
16,1.1921e-07,7.1088e-03,2956,1.1921e-07,6.0680e-04,988,2.2204e-16,4.2570e-03,4176,2.2204e-16,5.6800e-04,1296
17,1.1921e-07,4.6142e-03,3100,1.1921e-07,6.3510e-04,1008,2.2204e-16,4.6544e-03,4464,2.2204e-16,6.0390e-04,1336
18,1.1921e-07,5.0586e-03,3252,1.1921e-07,6.5170e-04,1028,2.2204e-16,5.0298e-03,4768,2.2204e-16,6.2950e-04,1376
19,1.1921e-07,5.5315e-03,3412,1.1921e-07,7.0530e-04,1048,2.2204e-16,5.6040e-03,5088,2.2204e-16,7.6150e-04,1416
20,1.1921e-07,6.1019e-03,3580,1.1921e-07,7.0510e-04,1068,2.2204e-16,6.1019e-03,5424,2.2204e-16,8.5450e-04,1456
50,1.1921e-07,3.5463e-02,12340,1.1921e-07,1.7595e-03,1668,2.2204e-16,3.5653e-02,22944,2.2204e-16,1.7887e-03,2656
100,1.1921e-07,1.4526e-01,42940,1.1921e-07,3.4816e-03,2668,2.2204e-16,1.4301e-01,84144,2.2204e-16,3.5120e-03,4656
150,1.1921e-07,3.1804e-01,93540,1.7881e-07,5.3499e-03,3668,2.2204e-16,3.1226e-01,185344,2.2204e-16,5.2394e-03,6656
200,1.1921e-07,5.5841e-01,164140,1.7881e-07,7.0513e-03,4668,2.2204e-16,5.5048e-01,326544,2.2204e-16,6.9664e-03,8656
250,1.1921e-07,8.6391e-01,254740,1.7881e-07,8.7830e-03,5668,2.2204e-16,8.8335e-01,507744,4.4409e-16,9.2137e-03,10656
