Rozmiar n,Kryterium,Liczba iteracji,Czas [s],Błąd rzeczywisty
10,przyrostowe,8,0.00014919997192919254,8.75998762417396e-09
10,rezydualne,7,8.990010246634483e-05,7.160941117856368e-08
30,przyrostowe,7,9.240000508725643e-05,3.4102670687374825e-08
30,rezydualne,7,9.699992369860411e-05,3.4102670687374825e-08
50,przyrostowe,8,0.00012500002048909664,1.5251894192047644e-08
50,rezydualne,7,0.00010699999984353781,1.260240569678217e-07
80,przyrostowe,8,0.00013509998098015785,1.3235087914509336e-08
80,rezydualne,7,0.00011790008284151554,1.2422601247674692e-07
100,przyrostowe,8,0.00013890000991523266,1.4364586187198825e-08
100,rezydualne,7,0.00011180003639310598,1.370416681245601e-07
150,przyrostowe,8,0.0003616999601945281,1.4062087161370584e-08
150,rezydualne,8,0.0001737999264150858,1.4062087161370584e-08
200,przyrostowe,7,0.0004099999787285924,1.4048310514880313e-08
200,rezydualne,7,0.0003557999152690172,1.4048310514880313e-08
250,przyrostowe,7,0.0006527999648824334,3.272551385435918e-08
250,rezydualne,7,0.0004884999943897128,3.272551385435918e-08
300,przyrostowe,7,0.000610999995842576,3.30988403351995e-08
300,rezydualne,7,0.0006035999394953251,3.30988403351995e-08
350,przyrostowe,8,0.0010779999429360032,1.59677369104827e-08
350,rezydualne,8,0.0011158999986946583,1.59677369104827e-08
400,przyrostowe,7,0.0015861999709159136,4.0145330171270643e-08
400,rezydualne,7,0.0024971000384539366,4.0145330171270643e-08
450,przyrostowe,8,0.0018448999617248774,1.3197752557481124e-08
450,rezydualne,8,0.0036214999854564667,1.3197752557481124e-08
500,przyrostowe,7,0.0025689000030979514,7.099755516826178e-08
500,rezydualne,7,0.0039085999596863985,7.099755516826178e-08
