Epsilon,Kryterium,Liczba iteracji,Czas [s],Błąd rzeczywisty
0.001,przyrostowe,5,0.00021319999359548092,1.7123501297677812e-05
0.001,rezydualne,4,0.00025429995730519295,0.00013834103487675442
0.0001,przyrostowe,6,0.0001398000167682767,1.5832928766945642e-06
0.0001,rezydualne,6,0.0005530999042093754,1.5832928766945642e-06
1e-05,przyrostowe,7,0.0008980999700725079,1.370416681245601e-07
1e-05,rezydualne,7,0.0004860000917688012,1.370416681245601e-07
1e-06,przyrostowe,8,0.00013229995965957642,1.4364586187198825e-08
1e-06,rezydualne,7,0.0004107999848201871,1.370416681245601e-07
1e-07,przyrostowe,9,0.00014699995517730713,1.2277775462976592e-09
1e-07,rezydualne,9,0.00014929997269064188,1.2277775462976592e-09
1e-08,przyrostowe,10,0.0001249000197276473,1.2189349529734272e-10
1e-08,rezydualne,9,0.0001425999216735363,1.2277775462976592e-09
1e-09,przyrostowe,11,0.00014490005560219288,1.1181278125604877e-11
1e-09,rezydualne,10,0.00023230002261698246,1.2189349529734272e-10
1e-10,przyrostowe,12,0.00017470004968345165,1.045719066894435e-12
1e-10,rezydualne,11,0.00017639994621276855,1.1181278125604877e-11
1e-11,przyrostowe,13,0.00015879992861300707,9.947598300641403e-14
1e-11,rezydualne,12,0.0005934999790042639,1.045719066894435e-12
1e-12,przyrostowe,13,0.000304899993352592,9.947598300641403e-14
1e-12,rezydualne,13,0.00027820002287626266,9.947598300641403e-14
