Skala,Odleglosc_Poczatkowa,Kryterium,Liczba iteracji
0.0,1.0,przyrostowe,7
0.0,1.0,rezydualne,7
4.166666666666667,5.124474115912922,przyrostowe,7
4.166666666666667,5.124474115912922,rezydualne,8
8.333333333333334,9.184100758998529,przyrostowe,8
8.333333333333334,9.184100758998529,rezydualne,8
12.5,12.793962838385223,przyrostowe,8
12.5,12.793962838385223,rezydualne,8
16.666666666666668,17.658835077735386,przyrostowe,8
16.666666666666668,17.658835077735386,rezydualne,8
20.833333333333336,21.632193446235487,przyrostowe,8
20.833333333333336,21.632193446235487,rezydualne,8
25.0,25.29882604865069,przyrostowe,9
25.0,25.29882604865069,rezydualne,8
29.166666666666668,30.164063139255784,przyrostowe,8
29.166666666666668,30.164063139255784,rezydualne,8
33.333333333333336,33.70056743684881,przyrostowe,8
33.333333333333336,33.70056743684881,rezydualne,8
37.5,36.87722028014079,przyrostowe,8
37.5,36.87722028014079,rezydualne,8
41.66666666666667,41.766466520881295,przyrostowe,8
41.66666666666667,41.766466520881295,rezydualne,8
45.833333333333336,46.16909669972248,przyrostowe,8
45.833333333333336,46.16909669972248,rezydualne,8
50.0,49.56931173605061,przyrostowe,9
50.0,49.56931173605061,rezydualne,9
54.16666666666667,53.64350583110111,przyrostowe,8
54.16666666666667,53.64350583110111,rezydualne,8
58.333333333333336,56.877988182964145,przyrostowe,8
58.333333333333336,56.877988182964145,rezydualne,8
62.50000000000001,63.363854262375064,przyrostowe,9
62.50000000000001,63.363854262375064,rezydualne,9
66.66666666666667,66.6288709047998,przyrostowe,9
66.66666666666667,66.6288709047998,rezydualne,9
70.83333333333334,71.25378050692889,przyrostowe,8
70.83333333333334,71.25378050692889,rezydualne,8
75.0,75.04049817878732,przyrostowe,8
75.0,75.04049817878732,rezydualne,8
79.16666666666667,78.54618277138134,przyrostowe,9
79.16666666666667,78.54618277138134,rezydualne,9
83.33333333333334,82.99732722502151,przyrostowe,9
83.33333333333334,82.99732722502151,rezydualne,9
87.5,88.2205763003555,przyrostowe,9
87.5,88.2205763003555,rezydualne,9
91.66666666666667,90.4865410823915,przyrostowe,8
91.66666666666667,90.4865410823915,rezydualne,8
95.83333333333334,95.79420649069861,przyrostowe,9
95.83333333333334,95.79420649069861,rezydualne,9
100.0,100.83422747363889,przyrostowe,9
100.0,100.83422747363889,rezydualne,9
